mandate_id,merchant_name,amount,due_day,notice_hours_before_debit,compliant,reason
MDT-1001,HDFC Credit Card Bill,22600,4,36,True,recurring mandate debit
MDT-1005,SBI Card Bill,11914,24,30,True,recurring mandate debit
MDT-1007,Netflix India,499,7,36,True,recurring mandate debit
MDT-1008,Spotify Premium,119,7,30,True,recurring mandate debit
MDT-1014,Spotify Premium,149,26,24,True,recurring mandate debit
MDT-1015,YouTube Premium,189,23,24,True,recurring mandate debit
MDT-1017,HDFC ERGO Health Insurance,4200,22,30,True,insurance premium recurring debit
MDT-1018,Star Health Insurance,3168,10,36,True,insurance premium recurring debit
MDT-1021,LIC Premium,2400,25,26,True,insurance premium recurring debit
MDT-1022,Netflix India,499,7,22,False,recurring mandate debit
MDT-1024,HDFC ERGO Health Insurance,15600,2,25,True,insurance premium recurring debit
MDT-1028,Amazon Prime,299,23,24,True,recurring mandate debit
MDT-1029,Airtel Postpaid Autopay,349,12,24,True,recurring mandate debit
MDT-1030,YouTube Premium,189,15,30,True,recurring mandate debit
MDT-1031,Amazon Prime,299,21,26,True,recurring mandate debit
MDT-1034,Jio Fiber,399,4,36,True,recurring mandate debit
MDT-1035,Spotify Premium,119,17,26,True,recurring mandate debit
MDT-1036,ICICI Prudential SIP,10000,26,22,False,recurring mandate debit
MDT-1039,Netflix India,499,26,30,True,recurring mandate debit
MDT-1041,Amazon Prime,1499,12,26,True,recurring mandate debit
MDT-1042,HDFC Mutual Fund SIP,3000,27,22,False,recurring mandate debit
MDT-1044,HDFC Credit Card Bill,22600,21,25,True,recurring mandate debit
MDT-1046,Airtel Postpaid Autopay,699,28,36,True,recurring mandate debit
MDT-1050,HDFC Mutual Fund SIP,1500,19,36,True,recurring mandate debit
MDT-1051,Zomato Gold,149,23,26,True,recurring mandate debit
MDT-1053,ICICI Prudential SIP,10000,4,24,True,recurring mandate debit
MDT-1054,Netflix India,199,28,25,True,recurring mandate debit
MDT-1058,HDFC Mutual Fund SIP,3000,6,22,False,recurring mandate debit
MDT-1059,HDFC ERGO Health Insurance,4223,8,36,True,insurance premium recurring debit
MDT-1063,HDFC Credit Card Bill,22668,23,36,True,recurring mandate debit
MDT-1064,Netflix India,649,20,24,True,recurring mandate debit
MDT-1070,HDFC Mutual Fund SIP,3000,22,26,True,recurring mandate debit
MDT-1075,Spotify Premium,119,11,24,True,recurring mandate debit
MDT-1079,ICICI Prudential SIP,5000,14,30,True,recurring mandate debit
MDT-1080,HDFC Mutual Fund SIP,3000,20,22,False,recurring mandate debit
MDT-1082,SBI Card Bill,6168,25,24,True,recurring mandate debit
MDT-1086,Spotify Premium,149,6,25,True,recurring mandate debit
MDT-1090,HDFC ERGO Health Insurance,8850,4,22,False,insurance premium recurring debit
MDT-1092,LIC Premium,2423,6,36,True,insurance premium recurring debit
MDT-1093,YouTube Premium,189,19,26,True,recurring mandate debit
MDT-1094,Amazon Prime,299,19,30,True,recurring mandate debit
MDT-1095,ICICI Prudential SIP,2500,14,25,True,recurring mandate debit
MDT-1101,HDFC ERGO Health Insurance,4200,23,36,True,insurance premium recurring debit
MDT-1105,Netflix India,499,11,36,True,recurring mandate debit
MDT-1106,Cult.fit Membership,799,7,26,True,recurring mandate debit
MDT-1107,HDFC ERGO Health Insurance,15463,24,22,False,insurance premium recurring debit
